Table,PoolKey,CardId,Weight,Rarity
Card,Card01,14558127,100,
Card,Card01,40908371,100,
Card,Card01,33698022,100,
Card,Card01,38517737,100,
Card,Card01,59822133,100,
Card,Card01,02129638,100,
Card,Card01,89631139,100,
Card,Card01,39701395,100,
Card,Card01,50954680,100,
Card,Card01,01639384,100,
Card,Card01,41620959,100,
Card,Card01,45467446,100,
Card,Card01,97268402,100,
Card,Card01,02530830,100,
Card,Card01,18963306,100,
Card,Card01,39030163,100,
Card,Card01,55063751,100,
Card,Card01,64332231,100,
Card,Card01,71587526,100,
Card,Card01,23434538,100,
Card,Card01,63767246,100,
Card,Card01,08165596,100,
Card,Card01,63356631,100,
Card,Card01,35261759,100,
Card,Card01,06853254,100,
Card,Card01,08240199,100,
Card,Card01,83994433,100,
Card,Card01,48800175,100,
Card,Card01,71039903,100,
Card,Card01,79814787,100,
Card,Card01,38120068,100,
Card,Card02,08949584,100,
Card,Card02,14558127,100,
Card,Card02,24224830,100,
Card,Card02,23204029,100,
Card,Card02,65681983,100,
Card,Card02,60461804,100,
Card,Card02,09411399,100,
Card,Card02,94145021,100,
Card,Card02,00213326,100,
Card,Card02,10186633,100,
Card,Card02,55171412,100,
Card,Card02,63060238,100,
Card,Card02,93347961,100,
Card,Card02,89943723,100,
Card,Card02,50720316,100,
Card,Card02,56733747,100,
Card,Card02,40044918,100,
Card,Card02,22908820,100,
Card,Card02,19222426,100,
Card,Card02,75047173,100,
Card,Card02,81439173,100,
Card,Card02,24299458,100,
Card,Card02,73642296,100,
Card,Card02,21143940,100,
Card,Card02,58481572,100,
Card,Card02,23434538,100,
Card,Card02,45906428,100,
Card,Card02,42141493,100,
Card,Card02,17955766,100,
Card,Card02,66011101,100,
Card,Card02,24094653,100,
Card,Card02,27780618,100,
Card,Card02,32828466,100,
Card,Card02,58004362,100,
Card,Card02,19324993,100,
Card,Card02,01948619,100,
Card,Card03,14558128,100,
Card,Card03,17217034,100,
Card,Card03,94145022,100,
Card,Card03,23434538,100,
Card,Card03,20357457,100,
Card,Card03,35261759,100,
Card,Card03,25072579,100,
Card,Card03,32807848,100,
Card,Card03,83838727,100,
Card,Card03,98462037,100,
Card,Card03,56741506,100,
Card,Card03,63013339,100,
Card,Card03,08491308,100,
Card,Card03,63288574,100,
Card,Card03,12421694,100,
Card,Card03,26077389,100,
Card,Card03,37351133,100,
Card,Card03,90673289,100,
Card,Card03,75147529,100,
Card,Card03,76072561,100,
Card,Card03,50005218,100,
Card,Card03,24010609,100,
Card,Card03,98338152,100,
Card,Card03,63166096,100,
Card,Card03,09726840,100,
Card,Card03,34433770,100,
Card,Card03,73628505,100,
Card,Card03,49299410,100,
Card,Card03,25311006,100,
Card,Card03,35269904,100,
Card,Card03,70368879,100,
Rarity,,,90,0
Rarity,,,10,1
